subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,64,2365,1,0,5,0.594475138,0.405524862
0,65,1583,1,3,3,0.453669385,0.546330615
0,66,5406,0,3,1,0.691323471,0.308676529
0,67,2418,1,1,5,0.409405256,0.590594744
0,68,5198,0,2,1,0.672184094,0.327815906
0,69,4101,1,0,4,0.516531165,0.483468835
0,70,3167,1,3,5,0.47427598,0.52572402
0,71,1675,0,4,0,0.515820896,0.484179104
0,72,1655,1,4,5,0.411974341,0.588025659
0,73,1870,0,3,0,0.649197861,0.350802139
0,74,2637,0,3,0,0.647326507,0.352673493
0,75,3613,1,5,5,0.473844451,0.526155549
0,76,1854,0,5,3,0.56234414,0.43765586
0,77,1999,0,5,3,0.593296089,0.406703911
0,78,1979,0,5,0,0.579585649,0.420414351
0,79,1987,0,5,0,0.529441369,0.470558631
0,80,2166,0,4,0,0.499076639,0.500923361
0,81,2263,0,5,3,0.473012758,0.526987242
0,82,1491,1,0,3,0.356012658,0.643987342
0,83,1697,0,0,1,0.519740719,0.480259281
0,84,2250,1,3,4,0.486486486,0.513513514
0,85,2017,0,4,1,0.647000496,0.352999504
0,86,2098,1,4,4,0.484177215,0.515822785
0,87,1744,0,5,1,0.614379085,0.385620915
0,88,2002,0,4,4,0.557649667,0.442350333
0,89,2099,0,5,0,0.6672,0.3328
0,90,4340,0,2,4,0.573552025,0.426447975
0,91,2085,1,3,4,0.342092216,0.657907784
0,92,2755,1,3,5,0.460380349,0.539619651
0,93,2265,0,5,4,0.511369134,0.488630866
0,94,1866,1,1,4,0.370461538,0.629538462
0,95,2166,0,4,0,0.655124654,0.344875346
0,96,4828,1,1,0,0.533101802,0.466898198
0,97,2376,0,5,0,0.548961424,0.451038576
0,98,2106,0,5,4,0.626975764,0.373024236
0,99,2328,0,4,1,0.67208413,0.32791587
0,100,4574,0,5,4,0.553579571,0.446420429
0,101,1708,1,0,2,0.42456768,0.57543232
0,102,1739,1,0,4,0.384870604,0.615129396
0,103,1466,1,0,0,0.530413625,0.469586375
0,104,4432,0,4,5,0.662248405,0.337751595
0,105,1759,1,0,5,0.375959079,0.624040921
0,106,1533,1,0,5,0.319634703,0.680365297
0,107,1556,0,1,0,0.494219653,0.505780347
0,108,1545,0,3,3,0.561685824,0.438314176
0,109,1291,1,4,5,0.333075136,0.666924864
0,110,1544,1,2,3,0.388305847,0.611694153
0,111,4190,1,0,0,0.48040201,0.51959799
0,112,1712,1,0,4,0.371495327,0.628504673
0,113,2958,1,3,0,0.500547246,0.499452754
0,114,1618,0,5,0,0.659269864,0.340730136
0,115,1474,0,5,4,0.696065129,0.303934871
0,116,1715,0,5,1,0.596549436,0.403450564
0,117,1819,1,0,0,0.378229797,0.621770203
0,118,1454,1,0,0,0.526170799,0.473829201
0,119,3480,0,0,0,0.658266749,0.341733251
1,0,3113,1,5,5,0.530627306,0.469372694
1,1,4273,1,0,5,0.521665729,0.478334271
1,2,2400,0,5,0,0.555833333,0.444166667
1,3,2710,1,2,5,0.686715867,0.313284133
1,4,3446,0,5,0,0.579752796,0.420247204
1,5,3993,0,5,5,0.772656655,0.227343345
1,6,2389,0,5,0,0.742570113,0.257429887
1,7,1404,0,0,0,0.41025641,0.58974359
1,8,3249,1,0,0,0.414896891,0.585103109
1,9,1822,0,2,0,0.365532382,0.634467618
1,10,1994,0,0,0,0.5,0.5
1,11,2700,0,5,0,0.558148148,0.441851852
1,12,1886,0,5,0,0.652173913,0.347826087
1,13,3326,1,5,5,0.565844859,0.434155141
1,14,3299,1,0,5,0.193998181,0.806001819
1,15,2521,1,0,5,0.427845959,0.572154041
1,16,2952,0,0,5,0.571138211,0.428861789
1,17,2415,0,2,0,0.490066225,0.509933775
1,18,3498,1,0,0,0.961875,0.038125
1,19,2270,1,0,0,0.634801762,0.365198238
1,20,2513,1,2,5,0.374548374,0.625451626
1,21,2738,1,5,2,0.757487217,0.242512783
1,22,3314,0,2,5,0.679079625,0.320920375
1,23,3086,1,0,0,0.737848347,0.262151653
1,24,2393,1,5,5,0.378213508,0.621786492
1,25,2560,1,0,0,0.671875,0.328125
1,26,3130,0,5,2,0.671848014,0.328151986
1,27,4404,0,5,5,0.62102634,0.37897366
1,28,1777,0,5,0,0.375351716,0.624648284
1,29,2386,0,5,2,0.432664756,0.567335244
1,30,2762,0,5,2,0.652561247,0.347438753
1,31,1868,0,5,0,0.632226981,0.367773019
1,32,2631,0,5,5,0.767388826,0.232611174
1,33,3073,0,5,5,0.751057598,0.248942402
1,34,2059,1,0,2,0.629834254,0.370165746
1,35,1611,1,0,5,0.453183521,0.546816479
1,36,1721,0,5,0,0.399515738,0.600484262
1,37,2535,1,0,0,0.708276177,0.291723823
1,38,2177,1,5,5,0.386311438,0.613688562
1,39,2577,1,0,5,0.564744287,0.435255713
1,40,2362,1,0,5,0.34537246,0.65462754
1,41,1504,1,0,0,0.617021277,0.382978723
1,42,1769,0,5,0,0.614927905,0.385072095
1,43,1998,1,2,0,0.636268344,0.363731656
1,44,1194,1,2,5,0.529313233,0.470686767
1,45,1135,1,0,5,0.525110132,0.474889868
1,46,1716,0,5,5,0.667249417,0.332750583
1,47,1320,0,5,5,0.591666667,0.408333333
1,48,1241,1,0,5,0.6365834,0.3634166
1,49,1278,1,5,5,0.591549296,0.408450704
1,50,1160,0,2,0,0.600862069,0.399137931
1,51,1596,0,0,2,0.614661654,0.385338346
1,52,1158,0,5,0,0.474093264,0.525906736
1,53,1504,1,5,5,0.64162234,0.35837766
1,54,1069,1,0,5,0.557530402,0.442469598
1,55,1009,1,0,5,0.568880079,0.431119921
1,56,1124,1,5,5,0.580071174,0.419928826
1,57,1174,0,5,0,0.563032368,0.436967632
1,58,1020,0,5,0,0.598039216,0.401960784
1,59,1150,1,0,2,0.588695652,0.411304348
1,60,1254,0,5,5,0.640350877,0.359649123
1,61,1898,0,5,0,0.751317176,0.248682824
1,62,1184,1,0,2,0.530405405,0.469594595
1,63,1012,0,5,0,0.529644269,0.470355731
1,64,2056,0,2,5,0.762159533,0.237840467
1,65,1025,0,0,0,0.526829268,0.473170732
1,66,1123,1,2,5,0.59839715,0.40160285
1,67,1224,1,0,0,0.640522876,0.359477124
1,68,1927,0,5,0,0.769071095,0.230928905
1,69,1103,0,5,5,0.605621034,0.394378966
1,70,1177,1,0,5,0.576890399,0.423109601
1,71,1173,1,5,5,0.507246377,0.492753623
1,72,1127,1,2,2,0.562555457,0.437444543
1,73,1540,1,0,0,0.703246753,0.296753247
1,74,1574,1,2,5,0.620076239,0.379923761
1,75,1212,0,0,0,0.655940594,0.344059406
1,76,1247,1,0,2,0.594226143,0.405773857
1,77,1096,1,0,5,0.605839416,0.394160584
1,78,1163,0,5,0,0.626827171,0.373172829
1,79,1068,0,2,0,0.605805243,0.394194757
1,80,1829,1,5,5,0.504962779,0.495037221
1,81,1958,1,0,5,0.592682927,0.407317073
1,82,1335,0,5,0,0.513684211,0.486315789
1,83,1560,0,2,5,0.541025641,0.458974359
1,84,1322,0,5,0,0.710059172,0.289940828
1,85,1545,0,5,5,0.705323194,0.294676806
1,86,1385,0,5,0,0.573584906,0.426415094
1,87,2884,0,0,0,0.666666667,0.333333333
1,88,1358,1,0,0,0.627393225,0.372606775
1,89,1663,0,2,0,0.449659349,0.550340651
1,90,1382,0,0,0,0.672955975,0.327044025
1,91,3400,0,5,0,0.614700652,0.385299348
1,92,1058,0,5,0,0.604914934,0.395085066
1,93,882,1,5,5,0.496598639,0.503401361
1,94,1057,1,0,5,0.586565752,0.413434248
1,95,1229,1,0,5,0.65012205,0.34987795
1,96,1375,0,0,5,0.703272727,0.296727273
1,97,819,0,2,0,0.514415781,0.485584219
1,98,1925,1,0,0,0.826625387,0.173374613
1,99,1062,1,0,0,0.628060264,0.371939736
1,100,1320,1,2,5,0.675757576,0.324242424
1,101,1068,1,5,2,0.605805243,0.394194757
1,102,1506,0,2,5,0.714991763,0.285008237
1,103,883,1,0,0,0.456398641,0.543601359
1,104,959,1,5,5,0.561001043,0.438998957
1,105,1317,1,0,0,0.548215642,0.451784358
1,106,1176,0,5,2,0.657312925,0.342687075
1,107,1196,0,5,5,0.643812709,0.356187291
1,108,1045,0,5,0,0.615311005,0.384688995
1,109,1060,0,5,2,0.610377358,0.389622642
1,110,1112,0,5,2,0.644784173,0.355215827
1,111,1471,0,5,0,0.764350453,0.235649547
1,112,1188,0,5,5,0.714285714,0.285714286
1,113,1411,0,5,5,0.56405694,0.43594306
1,114,1345,1,0,2,0.77034358,0.22965642
1,115,992,1,0,5,0.577620968,0.422379032
1,116,816,0,5,0,0.49877451,0.50122549
1,117,1740,1,0,0,0.53133515,0.46866485
1,118,1032,1,5,5,0.627906977,0.372093023
1,119,1124,1,0,5,0.640569395,0.359430605
2,0,4138,0,2,1,0.743738466,0.256261534
2,1,1615,0,2,1,0.575332866,0.424667134
2,2,1521,0,2,2,0.575352635,0.424647365
2,3,1833,0,4,1,0.609375,0.390625
2,4,1921,1,2,4,0.367989918,0.632010082
2,5,1472,0,3,1,0.529868115,0.470131885
2,6,3630,0,2,2,0.27813041,0.72186959
2,7,2730,0,3,2,0.424542125,0.575457875
2,8,5770,0,4,3,0.268957992,0.731042008
2,9,2833,0,1,2,0.360460929,0.639539071
2,10,1616,0,2,1,0.594059406,0.405940594
2,11,1776,1,1,3,0.369008536,0.630991464
2,12,1554,1,2,3,0.521060842,0.478939158
2,13,2881,0,1,1,0.51333083,0.48666917
2,14,2592,0,2,1,0.617857143,0.382142857
2,15,1966,1,2,4,0.378343949,0.621656051
2,16,4961,1,3,2,0.604716791,0.395283209
2,17,4289,1,1,1,0.308449974,0.691550026
2,18,2382,1,3,4,0.518683274,0.481316726
2,19,1627,0,4,1,0.589706934,0.410293066
2,20,1506,1,1,3,0.490566038,0.509433962
2,21,3071,1,1,4,0.300760043,0.699239957
2,22,1683,1,2,4,0.700960219,0.299039781
2,23,1869,0,4,2,0.515248796,0.484751204
2,24,1236,0,2,1,0.412621359,0.587378641
2,25,5758,1,4,4,0.338659257,0.661340743
2,26,3641,0,2,3,0.288382313,0.711617687
2,27,1984,0,1,1,0.644891122,0.355108878
2,28,2387,1,2,4,0.658591297,0.341408703
2,29,1672,1,2,3,0.479665072,0.520334928
2,30,3178,0,2,2,0.413282732,0.586717268
2,31,4034,0,3,3,0.634719711,0.365280289
2,32,2266,1,2,3,0.352661597,0.647338403
2,33,9110,1,4,3,0.577792702,0.422207298
2,34,1914,0,2,2,0.607843137,0.392156863
2,35,2310,1,4,3,0.466666667,0.533333333
2,36,3482,0,2,2,0.301550833,0.698449167
2,37,2185,1,1,4,0.338672769,0.661327231
2,38,1643,1,2,2,0.371272063,0.628727937
2,39,6848,1,2,4,0.313437452,0.686562548
2,40,3014,0,3,2,0.736674622,0.263325378
2,41,1248,0,3,2,0.500801282,0.499198718
2,42,1962,0,3,1,0.300713558,0.699286442
2,43,1814,1,2,4,0.448732084,0.551267916
2,44,2794,1,1,1,0.432355047,0.567644953
2,45,4583,0,2,2,0.418066768,0.581933232
2,46,5363,1,2,2,0.528062652,0.471937348
2,47,3832,1,2,3,0.698851775,0.301148225
2,48,1041,0,3,1,0.540826129,0.459173871
2,49,2045,1,1,4,0.44205379,0.55794621
2,50,1479,0,4,2,0.564570656,0.435429344
2,51,1750,0,2,3,0.598285714,0.401714286
2,52,2726,0,4,2,0.631327953,0.368672047
2,53,2387,1,2,1,0.424801005,0.575198995
2,54,1629,1,2,4,0.475138122,0.524861878
2,55,3360,0,4,1,0.678628136,0.321371864
2,56,1625,0,3,4,0.698461538,0.301538462
2,57,1991,1,1,2,0.485183325,0.514816675
2,58,5695,1,1,1,0.431606673,0.568393327
2,59,1470,1,2,2,0.446258503,0.553741497
2,60,1108,1,1,4,0.634476534,0.365523466
2,61,1263,1,1,2,0.581947743,0.418052257
2,62,1223,1,2,4,0.592705167,0.407294833
2,63,944,1,1,3,0.579449153,0.420550847
2,64,966,0,4,2,0.610766046,0.389233954
2,65,1471,0,4,2,0.586276488,0.413723512
2,66,1325,0,4,2,0.708679245,0.291320755
2,67,2047,0,2,3,0.788959453,0.211040547
2,68,1318,1,1,2,0.632776935,0.367223065
2,69,1410,0,4,4,0.673758865,0.326241135
2,70,1109,0,2,2,0.647430117,0.352569883
2,71,2158,1,1,2,0.616311399,0.383688601
2,72,3687,0,3,3,0.402495254,0.597504746
2,73,2117,0,2,3,0.514879547,0.485120453
2,74,1499,0,3,4,0.708779443,0.291220557
2,75,871,1,3,3,0.52238806,0.47761194
2,76,1230,0,3,2,0.52601626,0.47398374
2,77,1466,0,3,2,0.637789905,0.362210095
2,78,1764,1,4,4,0.487528345,0.512471655
2,79,2222,1,1,2,0.481548155,0.518451845
2,80,1351,0,2,1,0.564766839,0.435233161
2,81,1418,1,2,2,0.46351243,0.53648757
2,82,1152,1,1,2,0.383680556,0.616319444
2,83,2764,1,3,2,0.420890937,0.579109063
2,84,2555,1,4,4,0.344319167,0.655680833
2,85,1966,1,1,4,0.441483198,0.558516802
2,86,1839,1,2,2,0.488372093,0.511627907
2,87,1619,0,3,3,0.567634342,0.432365658
2,88,4705,1,4,4,0.514011613,0.485988387
2,89,1404,0,2,2,0.530351438,0.469648562
2,90,2197,0,4,1,0.39195231,0.60804769
2,91,2248,0,4,4,0.582466568,0.417533432
2,92,2783,0,4,2,0.445177246,0.554822754
2,93,1276,1,2,2,0.686520376,0.313479624
2,94,1925,0,2,1,0.426191844,0.573808156
2,95,1836,0,4,3,0.670461354,0.329538646
2,96,2134,0,4,2,0.745822785,0.254177215
2,97,1352,1,1,3,0.479462285,0.520537715
2,98,1285,0,4,2,0.692607004,0.307392996
2,99,1344,1,1,2,0.370535714,0.629464286
2,100,1834,1,3,2,0.294047619,0.705952381
2,101,2169,1,2,2,0.419066534,0.580933466
2,102,1192,0,3,1,0.507550336,0.492449664
2,103,1448,1,2,4,0.335635359,0.664364641
2,104,1618,1,1,3,0.551297899,0.448702101
2,105,2337,0,2,2,0.480263158,0.519736842
2,106,1817,0,4,1,0.576774904,0.423225096
2,107,953,0,4,1,0.580272823,0.419727177
2,108,1666,1,2,2,0.614645858,0.385354142
2,109,1120,0,4,2,0.634821429,0.365178571
2,110,1819,1,2,4,0.5346177,0.4653823
2,111,1672,1,3,2,0.539473684,0.460526316
2,112,4290,0,2,1,0.677622378,0.322377622
2,113,1477,1,3,4,0.519972918,0.480027082
2,114,1372,1,1,4,0.497084548,0.502915452
2,115,1507,1,2,3,0.427339084,0.572660916
2,116,2567,0,3,1,0.420335021,0.579664979
2,117,1513,1,1,1,0.437541309,0.562458691
2,118,1648,1,1,2,0.36407767,0.63592233
2,119,1125,1,2,2,0.568888889,0.431111111
3,0,3916,0,0,0,0.686414709,0.313585291
3,1,2427,0,5,2,0.726170799,0.273829201
3,2,3746,1,1,1,0.421529745,0.578470255
3,3,3621,0,3,1,0.919053549,0.080946451
3,4,2167,1,4,3,0.293121693,0.706878307
3,5,2378,0,5,4,0.548420508,0.451579492
3,6,3483,0,3,2,0.555693453,0.444306547
3,7,2759,1,0,3,0.498562628,0.501437372
3,8,11236,1,1,2,0.677750522,0.322249478
3,9,2620,1,1,3,0.394656489,0.605343511
3,10,5035,0,3,3,0.578008915,0.421991085
3,11,6939,0,4,4,0.644098068,0.355901932
3,12,2210,1,0,3,0.346639717,0.653360283
3,13,1773,1,1,4,0.317540891,0.682459109
3,14,1790,1,0,2,0.423963134,0.576036866
3,15,4010,1,4,1,0.197738627,0.802261373
3,16,2599,1,0,4,0.374350087,0.625649913
3,17,8879,0,5,2,0.436469567,0.563530433
3,18,2397,0,4,2,0.493087558,0.506912442
3,19,2316,0,2,1,0.620542083,0.379457917
3,20,1897,0,5,2,0.654320988,0.345679012
3,21,7320,1,2,2,0.457377049,0.542622951
3,22,3510,0,1,0,0.541025641,0.458974359
3,23,2683,1,1,4,0.336936265,0.663063735
3,24,1943,1,1,2,0.357179619,0.642820381
3,25,1684,0,2,1,0.621584699,0.378415301
3,26,3811,1,3,4,0.200332963,0.799667037
3,27,1739,1,2,4,0.50509165,0.49490835
3,28,2891,0,3,1,0.530983302,0.469016698
3,29,4217,1,2,5,0.463041844,0.536958156
3,30,6103,1,3,3,0.321932959,0.678067041
3,31,5579,0,3,3,0.525139665,0.474860335
3,32,4646,1,3,1,0.399483427,0.600516573
3,33,4253,1,1,3,0.505180069,0.494819931
3,34,2616,1,4,3,0.338333333,0.661666667
3,35,5075,0,3,3,0.501240695,0.498759305
3,36,2093,0,2,3,0.627027027,0.372972973
3,37,4899,1,3,4,0.381082934,0.618917066
3,38,4563,1,3,3,0.341442034,0.658557966
3,39,2354,0,3,0,0.492351816,0.507648184
3,40,3952,1,0,1,0.403772267,0.596227733
3,41,1354,0,4,2,0.581240768,0.418759232
3,42,1708,1,3,3,0.428571429,0.571428571
3,43,1662,0,3,4,0.605294826,0.394705174
3,44,3300,0,4,3,0.859922179,0.140077821
3,45,2187,1,1,4,0.558042686,0.441957314
3,46,1537,0,3,0,0.7648,0.2352
3,47,4601,1,1,3,0.777657031,0.222342969
3,48,1768,0,0,1,0.610859729,0.389140271
3,49,2069,0,5,4,0.74818753,0.25181247
3,50,3884,1,0,0,0.381050463,0.618949537
3,51,1877,1,1,3,0.395311668,0.604688332
3,52,1563,0,4,0,0.679400749,0.320599251
3,53,1706,1,0,3,0.369284877,0.630715123
3,54,4268,0,3,3,0.883576914,0.116423086
3,55,1762,1,2,5,0.39046538,0.60953462
3,56,1773,1,1,3,0.46249295,0.53750705
3,57,7000,0,3,1,0.822428571,0.177571429
3,58,3982,0,2,0,0.661911171,0.338088829
3,59,1869,0,3,0,0.614966807,0.385033193
3,60,2105,0,3,0,0.56530936,0.43469064
3,61,1507,0,3,1,0.569343066,0.430656934
3,62,2742,1,1,3,0.307075128,0.692924872
3,63,2430,1,1,2,0.314669135,0.685330865
3,64,2550,1,0,2,0.294092281,0.705907719
3,65,2499,1,3,2,0.474531998,0.525468002
3,66,3249,0,3,3,0.538319483,0.461680517
3,67,2161,1,0,4,0.373900972,0.626099028
3,68,2270,1,3,3,0.464317181,0.535682819
3,69,2322,0,2,0,0.517226529,0.482773471
3,70,1885,1,0,1,0.335092348,0.664907652
3,71,2328,1,1,3,0.352233677,0.647766323
3,72,1789,1,0,3,0.382563435,0.617436565
3,73,3082,1,3,3,0.275146009,0.724853991
3,74,2710,1,3,5,0.49298893,0.50701107
3,75,3318,0,5,3,0.551235684,0.448764316
3,76,1596,0,4,1,0.644110276,0.355889724
3,77,2020,1,3,4,0.319308357,0.680691643
3,78,1498,0,4,0,0.603471295,0.396528705
3,79,3854,1,1,3,0.484172289,0.515827711
3,80,3897,0,3,3,0.55667001,0.44332999
3,81,1515,0,3,4,0.599376461,0.400623539
3,82,2095,1,3,2,0.494976203,0.505023797
3,83,1847,0,4,3,0.740119112,0.259880888
3,84,3787,1,2,2,0.401118881,0.598881119
3,85,3488,0,4,3,0.624158816,0.375841184
3,86,4082,1,3,3,0.20292887,0.79707113
3,87,2037,1,1,2,0.533420708,0.466579292
3,88,1874,1,3,3,0.415154749,0.584845251
3,89,1663,1,0,4,0.408899579,0.591100421
3,90,5986,0,3,1,0.720335954,0.279664046
3,91,7087,1,4,4,0.177313805,0.822686195
3,92,1695,1,0,2,0.397640118,0.602359882
3,93,1739,1,2,4,0.353076481,0.646923519
3,94,3157,0,5,2,0.534836066,0.465163934
3,95,1509,0,3,0,0.571540266,0.428459734
3,96,4811,1,2,5,0.401586308,0.598413692
3,97,1924,0,3,1,0.616309462,0.383690538
3,98,1294,0,2,1,0.588871716,0.411128284
3,99,1835,0,1,4,0.550943396,0.449056604
3,100,2191,1,0,3,0.429964084,0.570035916
3,101,1573,1,4,5,0.34965035,0.65034965
3,102,2013,0,5,3,0.652892562,0.347107438
3,103,1253,0,4,1,0.592178771,0.407821229
3,104,2332,0,2,0,0.487564322,0.512435678
3,105,3469,1,4,5,0.337223587,0.662776413
3,106,7005,0,1,3,0.743673228,0.256326772
3,107,4749,0,3,1,0.396083386,0.603916614
3,108,2096,1,3,5,0.295801527,0.704198473
3,109,1272,0,4,0,0.621855346,0.378144654
3,110,3300,0,1,1,0.555962184,0.444037816
3,111,1336,0,3,1,0.64745509,0.35254491
3,112,1260,0,4,1,0.63015873,0.36984127
3,113,1340,0,1,0,0.645522388,0.354477612
3,114,3912,0,2,1,0.326122228,0.673877772
3,115,1344,0,1,0,0.613839286,0.386160714
3,116,3005,1,2,3,0.423462089,0.576537911
3,117,1676,0,3,3,0.62165867,0.37834133
3,118,2666,0,2,3,0.499185668,0.500814332
3,119,1883,1,2,5,0.392062538,0.607937462
4,0,1944,0,1,1,0.506008011,0.493991989
4,1,3591,1,1,1,0.483522893,0.516477107
4,2,1669,0,5,5,0.651288197,0.348711803
4,3,1473,0,5,1,0.644988523,0.355011477
4,4,1379,1,1,5,0.269760696,0.730239304
4,5,2554,1,1,1,0.445184025,0.554815975
4,6,1539,0,4,1,0.671215075,0.328784925
4,7,1370,1,1,1,0.382481752,0.617518248
4,8,1375,1,1,5,0.372937294,0.627062706
4,9,3063,1,1,2,0.443055556,0.556944444
4,10,1369,1,1,1,0.359386413,0.640613587
4,11,1598,1,1,5,0.301001252,0.698998748
4,12,1833,0,1,1,0.622619048,0.377380952
4,13,1252,1,3,5,0.408830744,0.591169256
4,14,1773,0,5,1,0.628607277,0.371392723
4,15,1471,1,1,5,0.244776119,0.755223881
4,16,3207,0,4,1,0.607705779,0.392294221
4,17,1903,0,1,1,0.674198634,0.325801366
4,18,2550,0,5,1,0.610666667,0.389333333
4,19,1988,0,2,1,0.649746193,0.350253807
4,20,1531,0,5,1,0.660352711,0.339647289
4,21,4111,1,4,5,0.396369138,0.603630862
4,22,5355,1,1,1,0.487090559,0.512909441
4,23,1387,0,5,1,0.692862293,0.307137707
4,24,1688,0,5,3,0.673619632,0.326380368
4,25,3569,1,1,1,0.318899941,0.681100059
4,26,1619,1,4,5,0.315009265,0.684990735
4,27,4123,1,1,1,0.459655259,0.540344741
4,28,1834,1,1,1,0.298489426,0.701510574
4,29,1416,1,1,2,0.406779661,0.593220339
4,30,1288,1,1,5,0.434782609,0.565217391
4,31,1361,1,1,5,0.415584416,0.584415584
4,32,1465,1,1,1,0.371907422,0.628092578
4,33,1650,0,1,1,0.638787879,0.361212121
4,34,2292,1,1,1,0.417102967,0.582897033
4,35,1348,1,1,4,0.391691395,0.608308605
4,36,1407,0,5,4,0.647887324,0.352112676
4,37,1486,1,1,5,0.475035663,0.524964337
4,38,1610,1,4,5,0.330601093,0.669398907
4,39,2680,0,1,1,0.565118913,0.434881087
4,40,2420,0,1,1,0.552534562,0.447465438
4,41,2161,0,1,1,0.495141138,0.504858862
4,42,1342,0,5,1,0.587183308,0.412816692
4,43,1253,1,1,1,0.359138069,0.640861931
4,44,1262,0,5,1,0.59429477,0.40570523
4,45,1895,1,1,1,0.656992084,0.343007916
4,46,2956,0,5,4,0.732746955,0.267253045
4,47,1518,0,5,1,0.604527297,0.395472703
4,48,1020,1,1,5,0.352941176,0.647058824
4,49,1407,0,1,1,0.587775409,0.412224591
4,50,2155,0,4,1,0.672389791,0.327610209
4,51,1575,1,1,5,0.363174603,0.636825397
4,52,1830,0,1,1,0.578142077,0.421857923
4,53,1061,0,1,1,0.629594722,0.370405278
4,54,1095,1,4,5,0.304109589,0.695890411
4,55,1536,1,1,1,0.3984375,0.6015625
4,56,1046,0,5,1,0.611854685,0.388145315
4,57,1951,0,5,3,0.758585341,0.241414659
4,58,1306,0,1,1,0.689892802,0.310107198
4,59,1983,1,1,2,0.345629106,0.654370894
4,60,1847,0,1,2,0.621884498,0.378115502
4,61,1761,1,1,5,0.362294151,0.637705849
4,62,2454,0,1,1,0.589649552,0.410350448
4,63,2720,1,3,1,0.455147059,0.544852941
4,64,1076,0,2,1,0.652416357,0.347583643
4,65,1871,1,1,5,0.237437186,0.762562814
4,66,926,0,5,1,0.821814255,0.178185745
4,67,1366,0,1,1,0.56954612,0.43045388
4,68,1282,1,1,5,0.352574103,0.647425897
4,69,1485,1,1,1,0.363636364,0.636363636
4,70,2086,0,5,1,0.65163297,0.34836703
4,71,1351,0,5,1,0.548482605,0.451517395
4,72,1516,0,1,4,0.616094987,0.383905013
4,73,1085,1,1,1,0.752823087,0.247176913
4,74,1580,0,3,1,0.724683544,0.275316456
4,75,1235,0,5,1,0.470445344,0.529554656
4,76,1850,1,5,5,0.452972973,0.547027027
4,77,1398,1,1,5,0.381974249,0.618025751
